,Metric,Last 24 Hours,Today,Tonight,Tomorrow,range,station,date
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-04
1,Temperatures,Low: 17° F | High: 31° F,22 to 28 ° F,14 to 19 ° F,31 to 37 ° F,Flathead Range & Glacier NP,,2024-02-04
2,Wind Direction,Northwest,Northeast,Southeast,South,Flathead Range & Glacier NP,,2024-02-04
3,Wind Speed,4G22,7,9,12,Flathead Range & Glacier NP,,2024-02-04
4,Snowfall,"2""","1""","0""","0""",Flathead Range & Glacier NP,,2024-02-04
5,Snow Line,3500',1500',2500',4500',Flathead Range & Glacier NP,,2024-02-04
0,Cloud Cover,Mostly Cloudy,Overcast,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-03
1,Temperatures,Low: 27 ° F | High: 39 ° F,28 to 34 ° F,13 to 18 ° F,22 to 29 ° F,Flathead Range & Glacier NP,,2024-02-03
2,Wind Direction,Northwest,Northwest,Northeast,Northeast,Flathead Range & Glacier NP,,2024-02-03
3,Wind Speed,2G10 mph,10G22,16G29,10G21,Flathead Range & Glacier NP,,2024-02-03
4,Snowfall,"0""","3"" to 4""","2"" to 5""","1""",Flathead Range & Glacier NP,,2024-02-03
5,Snow Line,5500',4500',2500',1000',Flathead Range & Glacier NP,,2024-02-03
0,Cloud Cover,Mostly Clear,Mostly Cloudy,Mostly Cloudy,Overcast,Flathead Range & Glacier NP,,2024-02-02
1,Temperatures,Low: 38° F | High: 45° F,35 to 42 ° F,25 to 29 ° F,28 to 33 ° F,Flathead Range & Glacier NP,,2024-02-02
2,Wind Direction,South,Southwest,Northwest,West,Flathead Range & Glacier NP,,2024-02-02
3,Wind Speed,9G29 mph,6,7,9,Flathead Range & Glacier NP,,2024-02-02
4,Snowfall,"0""","0""","2"" to 3""","3"" to 5""",Flathead Range & Glacier NP,,2024-02-02
5,Snow Line,7000',6000',5500',4500',Flathead Range & Glacier NP,,2024-02-02
0,Cloud Cover,Partly Cloudy,Mostly Clear,Partly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-01
1,Temperatures,Low: 41° F | High: 47° F,39 to 47 ° F,27 to 31 ° F,34 to 42 ° F,Flathead Range & Glacier NP,,2024-02-01
2,Wind Direction,South,South,South,Southwest,Flathead Range & Glacier NP,,2024-02-01
3,Wind Speed,11G42,12G22,10,6,Flathead Range & Glacier NP,,2024-02-01
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-02-01
5,Snow Line,9000',6500',6500',6000',Flathead Range & Glacier NP,,2024-02-01
0,Cloud Cover,Mostly Cloudy,Mostly Clear,Mostly Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-01-31
1,Temperatures,Low:39 ° F | High: 44° F,41 to 48 ° F,28 to 32 ° F,39 to 47 ° F,Flathead Range & Glacier NP,,2024-01-31
2,Wind Direction,South Southwest,South,South,South,Flathead Range & Glacier NP,,2024-01-31
3,Wind Speed,13G41mph,10,9,11,Flathead Range & Glacier NP,,2024-01-31
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-01-31
5,Snow Line,7500',7000',7000',6000',Flathead Range & Glacier NP,,2024-01-31
