,Metric,Last 24 Hours,Today,Tonight,Tomorrow,range,station,date
2,Wind Direction,West,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-09
3,Wind Speed,6G32 mph,14G28,22G36,18G30,Flathead Range & Glacier NP,,2024-03-09
4,Snowfall,"0""","0""","0"" to 3""","0 to 1""",Flathead Range & Glacier NP,,2024-03-09
5,Snow Line,3500',4000',4000',4000',Flathead Range & Glacier NP,,2024-03-09
0,Cloud Cover,Mostly Clear,Mostly Clear,Partly Cloudy,Partly Cloudy,Flathead Range & Glacier NP,,2024-03-08
1,Temperatures,Low: 8 ° F | High: 22 ° F,25 to 33 ° F,15 to 20 ° F,35 to 43 ° F,Flathead Range & Glacier NP,,2024-03-08
2,Wind Direction,West-Northwest,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-08
3,Wind Speed,6G42 mph,12G22,10,12G24,Flathead Range & Glacier NP,,2024-03-08
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-08
5,Snow Line,1000',1500',2500',3500',Flathead Range & Glacier NP,,2024-03-08
0,Cloud Cover,Partly Cloudy,Partly Cloudy,Mostly Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-03-07
1,Temperatures,Low: 8° F | High: 21° F,17 to 24 ° F,3 to 9 ° F,26 to 33 ° F,Flathead Range & Glacier NP,,2024-03-07
2,Wind Direction,West,West,West,Southwest,Flathead Range & Glacier NP,,2024-03-07
3,Wind Speed,7G40mph,11,10,11,Flathead Range & Glacier NP,,2024-03-07
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-07
5,Snow Line,1000',500',500',1000',Flathead Range & Glacier NP,,2024-03-07
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Partly Cloudy,Partly Cloudy,Flathead Range & Glacier NP,,2024-03-06
1,Temperatures,Low: 10° F | High:17 ° F,15 to 22 ° F,2 to 8 ° F,18 to 25 ° F,Flathead Range & Glacier NP,,2024-03-06
2,Wind Direction,Southwest,West,Southwest,West,Flathead Range & Glacier NP,,2024-03-06
3,Wind Speed,10G59mph,15,11,11,Flathead Range & Glacier NP,,2024-03-06
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-06
5,Snow Line,0',2000',1000',2000',Flathead Range & Glacier NP,,2024-03-06
0,Cloud Cover,Mostly Cloudy,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-05
1,Temperatures,Low: 12° F | High: 16° F,16 to 23 ° F,4 to 10 ° F,17 to 23 ° F,Flathead Range & Glacier NP,,2024-03-05
2,Wind Direction,Southwest,Southwest,Southwest,West,Flathead Range & Glacier NP,,2024-03-05
3,Wind Speed,14G6,12,12,15,Flathead Range & Glacier NP,,2024-03-05
4,Snowfall,"6-7""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-05
5,Snow Line,500',500',500',500',Flathead Range & Glacier NP,,2024-03-05
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-04
1,Temperatures,Low: 11° F | High: 20 ° F,17 to 23 ° F,2 to 9 ° F,17 to 23 ° F,Flathead Range & Glacier NP,,2024-03-04
2,Wind Direction,West,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-04
3,Wind Speed,7G39 mph,13,16,11,Flathead Range & Glacier NP,,2024-03-04
4,Snowfall,"0""","1"" to 3""","1"" to 2""","0""",Flathead Range & Glacier NP,,2024-03-04
5,Snow Line,1000',500',500',0',Flathead Range & Glacier NP,,2024-03-04
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-03
1,Temperatures,Low: 10° F | High: 19° F,16 to 23 ° F,3 to 10 ° F,16 to 22 ° F,Flathead Range & Glacier NP,,2024-03-03
2,Wind Direction,West,West,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-03
3,Wind Speed,9G41 mph,14,11G22,14,Flathead Range & Glacier NP,,2024-03-03
4,Snowfall,"5""","1"" to 2""","1"" to 3""","1"" to 4""",Flathead Range & Glacier NP,,2024-03-03
5,Snow Line,500',500',500',500',Flathead Range & Glacier NP,,2024-03-03
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-02
1,Temperatures,Low: 17 ° F | High: 20 ° F,20 to 28 ° F,5 to 10 ° F,16 to 22 ° F,Flathead Range & Glacier NP,,2024-03-02
2,Wind Direction,Southeast,Southeast,West,Southwest,Flathead Range & Glacier NP,,2024-03-02
3,Wind Speed,17G62 mph,14,13,16,Flathead Range & Glacier NP,,2024-03-02
4,Snowfall,"0""","3"" to 5""","1"" to 2""","0"" to 2""",Flathead Range & Glacier NP,,2024-03-02
5,Snow Line,1500',2000',500',500',Flathead Range & Glacier NP,,2024-03-02
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-01
1,Temperatures,Low: 18 ° F | High: 33 ° F,20 to 27 ° F,10 to 16 ° F,18 to 27 ° F,Flathead Range & Glacier NP,,2024-03-01
2,Wind Direction,South-Southwest,Southwest,South,Southeast,Flathead Range & Glacier NP,,2024-03-01
3,Wind Speed,21G91 mph,19G31,13,13,Flathead Range & Glacier NP,,2024-03-01
4,Snowfall,"1""","1"" to 2""","0""","3"" to 5""",Flathead Range & Glacier NP,,2024-03-01
5,Snow Line,4000',1500',2000',2000',Flathead Range & Glacier NP,,2024-03-01
0,Cloud Cover,Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-29
1,Temperatures,Low: 14° F | High: 28° F,32 to 40 ° F,11 to 17 ° F,21 to 26 ° F,Flathead Range & Glacier NP,,2024-02-29
2,Wind Direction,Southwest,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-02-29
3,Wind Speed,20G28,29G47,26G47,21,Flathead Range & Glacier NP,,2024-02-29
4,Snowfall,"5""","1"" to 3""","4"" to 5""","1"" to 3""",Flathead Range & Glacier NP,,2024-02-29
5,Snow Line,4000',5500',3000',1500',Flathead Range & Glacier NP,,2024-02-29
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-28
1,Temperatures,Low: 9 ° F | High: 13 ° F,28 to 33 ° F,25 to 30 ° F,32 to 40 ° F,Flathead Range & Glacier NP,,2024-02-28
2,Wind Direction,Southwest,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-02-28
3,Wind Speed,14G73mph,30G49,30G46,30G44,Flathead Range & Glacier NP,,2024-02-28
4,Snowfall,"1""","3"" to 9""","2"" to 6""","1"" to 5""",Flathead Range & Glacier NP,,2024-02-28
5,Snow Line,3000',3500',5000',5500',Flathead Range & Glacier NP,,2024-02-28
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-27
1,Temperatures,Low: -2° F | High: 31° F,10 to 17 ° F,6 to 11 ° F,27 to 33 ° F,Flathead Range & Glacier NP,,2024-02-27
2,Wind Direction,Northeast,Southwest,West,Southwest,Flathead Range & Glacier NP,,2024-02-27
3,Wind Speed,18G45,14G31,25G38,30G46,Flathead Range & Glacier NP,,2024-02-27
4,Snowfall,"5-6""","1"" to 2""","1"" to 2""","2"" to 5""",Flathead Range & Glacier NP,,2024-02-27
5,Snow Line,4000',0',0',3000',Flathead Range & Glacier NP,,2024-02-27
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-26
1,Temperatures,Low:25° F | High:27 ° F,19 to 26 ° F,-5 to 2 ° F,11 to 17 ° F,Flathead Range & Glacier NP,,2024-02-26
2,Wind Direction,West,West,East,Southwest,Flathead Range & Glacier NP,,2024-02-26
3,Wind Speed,20G102,27G51,11,12G24,Flathead Range & Glacier NP,,2024-02-26
4,Snowfall,"6""","3"" to 5""","3""","1"" to 2""",Flathead Range & Glacier NP,,2024-02-26
5,Snow Line,4000',500',0',0',Flathead Range & Glacier NP,,2024-02-26
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Overcast,Overcast,Flathead Range & Glacier NP,,2024-02-25
1,Temperatures,Low: 24° F | High: 26° F,27 to 34 ° F,12 to 17 ° F,19 to 25 ° F,Flathead Range & Glacier NP,,2024-02-25
2,Wind Direction,West,West,Southwest,West,Flathead Range & Glacier NP,,2024-02-25
3,Wind Speed,20G88 mph,33G56,39G61,26G57,Flathead Range & Glacier NP,,2024-02-25
4,Snowfall,"6""","6"" to 11""","13"" to 15""","3"" to 4""",Flathead Range & Glacier NP,,2024-02-25
5,Snow Line,4500',4500',4000',500',Flathead Range & Glacier NP,,2024-02-25
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-24
1,Temperatures,Low: 23° F | High: 27° F,25 to 32 ° F,23 to 28 ° F,28 to 34 ° F,Flathead Range & Glacier NP,,2024-02-24
